"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1810","Get all Coffee","chromium","2026-09-23","failed","2026-09-23","","Apitesting.spec.ts","",""
"","2145","update the Coffee details","chromium","2026-09-23","failed","2026-09-23","","Apitesting.spec.ts","",""
"","2368","Post New Coffee details","chromium","2026-09-23","failed","2026-09-23","","Apitesting.spec.ts","",""
"","21282","has title","chromium","2026-09-23","passed","2026-09-23","","orangehrmlogin.spec.ts","",""
"","30144","has title","chromium","2026-09-23","broken","2026-09-23","","customedropdown.spec.ts","",""
"","9365","tc1","chromium","2026-09-23","passed","2026-09-23","","Example.spec.ts","",""
"","6442","Navigate to truck page","chromium","2026-09-23","passed","2026-09-23","Homepage navigation tests","vehileframework.spec.ts","",""
"","4938","scrolling","chromium","2026-09-23","passed","2026-09-23","","sample.spec.ts","",""
"","4110","tc3-icici page","chromium","2026-09-23","passed","2026-09-23","grouping","Group.spec.ts","",""
"","8717","infinite looping","chromium","2026-09-23","passed","2026-09-23","","scrolling.spec.ts","",""
"","30072","TC table","chromium","2026-09-23","broken","2026-09-23","","tableverification.spec.ts","",""
"","30299","test","chromium","2026-09-23","broken","2026-09-23","","Amazon.spec.ts","",""
"","4579","TC01 Orange HRM Dashboard widget verification","chromium","2026-09-23","passed","2026-09-23","","orangeverification.spec.ts","",""
"","6226","Navigate to camper page","chromium","2026-09-23","passed","2026-09-23","Homepage navigation tests","vehileframework.spec.ts","",""
"","16031","Fill Automobile form successfully","chromium","2026-09-23","passed","2026-09-23","","Automobileveri.spec.ts","",""
"","27327","tc1 dropdwon","chromium","2026-09-23","passed","2026-09-23","","sample.spec.ts","",""
"","2375","Get Coffee by id","chromium","2026-09-23","failed","2026-09-23","","Apitesting.spec.ts","",""
"","8116","auto Scrolling","chromium","2026-09-23","passed","2026-09-23","","scrolling.spec.ts","",""
"","4893","tc1-sbi page","chromium","2026-09-23","passed","2026-09-23","grouping","Group.spec.ts","",""
"","18617","tc2 mouseopera","chromium","2026-09-23","passed","2026-09-23","","sample.spec.ts","",""
"","4162","TC1select dropdown","chromium","2026-09-23","passed","2026-09-23","","selectdropdown.spec.ts","",""
"","23625","tc1 tableverification","chromium","2026-09-23","passed","2026-09-23","","table.spec.ts","",""
"","6581","tc2-hdfc page","chromium","2026-09-23","passed","2026-09-23","grouping","Group.spec.ts","",""
"","6374","with out Fixtures Example","chromium","2026-09-23","passed","2026-09-23","","Fixtures.spec.ts","",""
"","9338","amazon","chromium","2026-09-23","passed","2026-09-23","","Amazon1.spec.ts","",""
"","6217","Navigate to Automobile page","chromium","2026-09-23","passed","2026-09-23","Homepage navigation tests","vehileframework.spec.ts","",""
"","30063","test","chromium","2026-09-23","broken","2026-09-23","","orangehrm.spec.ts","",""
"","1280","Update the Coffee details","chromium","2026-09-23","failed","2026-09-23","","Apitesting.spec.ts","",""
"","7213","TC02 Orange HRM Dashboard page verification","chromium","2026-09-23","passed","2026-09-23","","orangeverification.spec.ts","",""
"","6962","verify dropdown value","chromium","2026-09-23","passed","2026-09-23","","valuedropdown.spec.ts","",""
"","23133","mouse Operations","chromium","2026-09-23","passed","2026-09-23","","mouseoperation.spec.ts","",""
"","8510","drag/drop","chromium","2026-09-23","passed","2026-09-23","","mouseoperation.spec.ts","",""
"","6324","Navigate to motorcycle page","chromium","2026-09-23","passed","2026-09-23","Homepage navigation tests","vehileframework.spec.ts","",""
